SNID: 2018oh
RA: 136.66475
DECL: 19.33827

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     DQ     MAGERR OBJTYPE
OBS: 58220.028410 g 13694.53949 133.76788 17.15863 0.01061 0 0x00000001 0x0000
OBS: 58220.039030 V 19746.75869 204.80243 16.76126 0.01126 0 0x00000001 0x0000
OBS: 58220.040650 B 9633.53717 125.23343 17.54054 0.01412 0 0x00000001 0x0000
OBS: 58221.014400 r 21820.90560 176.48292 16.65282 0.00878 0 0x00000001 0x0000
OBS: 58221.016740 i 17137.25695 175.33222 16.91515 0.01111 0 0x00000001 0x0000
OBS: 58221.018630 g 14450.62163 130.47123 17.10028 0.00981 0 0x00000001 0x0000
OBS: 58221.028970 V 19788.22192 214.07441 16.75898 0.01175 0 0x00000001 0x0000
OBS: 58221.031330 B 9835.89633 132.21770 17.51797 0.01460 0 0x00000001 0x0000
OBS: 58222.083750 r 21678.55441 170.62506 16.65992 0.00855 0 0x00000001 0x0000
OBS: 58222.085890 i 16180.84347 159.25543 16.97750 0.01069 0 0x00000001 0x0000
OBS: 58222.088060 g 13813.50498 129.14624 17.14924 0.01015 0 0x00000001 0x0000
OBS: 58222.090980 V 19622.20843 192.58429 16.76813 0.01066 0 0x00000001 0x0000
OBS: 58222.093740 B 9374.38540 130.65012 17.57014 0.01514 0 0x00000001 0x0000
OBS: 58223.046700 r 21807.25797 184.08554 16.65350 0.00917 0 0x00000001 0x0000
OBS: 58223.049060 i 16973.84532 178.45998 16.92555 0.01142 0 0x00000001 0x0000
OBS: 58223.051520 g 14346.62490 136.25029 17.10813 0.01031 0 0x00000001 0x0000
OBS: 58223.063340 V 20307.42321 199.29011 16.73086 0.01066 0 0x00000001 0x0000
OBS: 58223.065880 B 9666.08823 130.08555 17.53687 0.01462 0 0x00000001 0x0000
OBS: 58224.003340 r 18919.11943 192.75265 16.80775 0.01106 0 0x00000001 0x0000
OBS: 58224.005820 i 14492.46629 207.55441 17.09714 0.01555 0 0x00000001 0x0000
OBS: 58224.008130 g 9882.29528 280.86243 17.51286 0.03086 0 0x00000001 0x0000
OBS: 58224.019020 V 18611.09879 216.64658 16.82557 0.01264 0 0x00000001 0x0000
OBS: 58224.021310 B 8485.94722 128.79229 17.67825 0.01648 0 0x00000001 0x0000
OBS: 58225.027040 r 20968.79344 308.85910 16.69607 0.01600 0 0x00000001 0x0000
OBS: 58225.029850 i 8388.03369 1773.75199 17.69085 0.22965 1 0x00000007 0x0000
OBS: 58225.032300 g 13512.14510 181.86960 17.17319 0.01462 0 0x00000001 0x0000
OBS: 58225.042920 V 18080.40514 396.70556 16.85698 0.02383 0 0x00000001 0x0000
OBS: 58225.045130 B 10044.23338 262.76878 17.49521 0.02841 0 0x00000001 0x0000
OBS: 58226.012550 r 18658.89266 256.65711 16.82279 0.01494 0 0x00000001 0x0000
OBS: 58226.014070 i 14078.99253 345.48556 17.12857 0.02665 0 0x00000001 0x0000
OBS: 58226.015370 g 12058.95966 161.39802 17.29673 0.01454 0 0x00000001 0x0000
OBS: 58226.022290 V 16864.55615 250.53236 16.93256 0.01613 0 0x00000001 0x0000
OBS: 58226.023480 B 8423.12645 169.12942 17.68632 0.02181 0 0x00000001 0x0000
OBS: 58233.019470 r 15526.53777 214.68472 17.02231 0.01502 0 0x00000001 0x0000
OBS: 58233.021120 i 10587.73475 193.91957 17.43799 0.01989 0 0x00000001 0x0000
OBS: 58233.022640 g 10949.97788 188.11101 17.40147 0.01866 0 0x00000001 0x0000
OBS: 58233.032710 V 15418.66465 276.69934 17.02988 0.01949 0 0x00000001 0x0000
OBS: 58233.034350 B 8231.14640 225.48706 17.71135 0.02975 0 0x00000001 0x0000
OBS: 58241.989680 V 12261.68704 124.56030 17.27862 0.01103 0 0x00000001 0x0000
OBS: 58241.994800 r 12071.44395 114.11407 17.29560 0.01027 0 0x00000001 0x0000
OBS: 58241.997180 g 10211.93936 101.32462 17.47723 0.01078 0 0x00000001 0x0000
OBS: 58241.999400 i 8296.20638 124.16559 17.70280 0.01625 0 0x00000001 0x0000
OBS: 58244.018330 B 6643.61155 118.36185 17.94399 0.01935 0 0x00000001 0x0000
OBS: 58244.020860 V 11736.68422 177.59362 17.32614 0.01643 0 0x00000001 0x0000
OBS: 58244.032590 g 9658.88793 114.85516 17.53768 0.01291 0 0x00000001 0x0000
OBS: 58244.034310 i 7763.69975 160.13689 17.77483 0.02240 0 0x00000001 0x0000
OBS: 58244.035820 r 11153.08484 133.15484 17.38151 0.01297 0 0x00000001 0x0000
OBS: 58247.022470 B 6784.70737 103.83309 17.92117 0.01662 0 0x00000001 0x0000
OBS: 58247.025980 V 11672.38701 154.40307 17.33210 0.01437 0 0x00000001 0x0000
OBS: 58247.037190 g 9747.94511 106.40610 17.52772 0.01185 0 0x00000001 0x0000
OBS: 58247.039420 i 7214.27404 132.53499 17.85452 0.01995 0 0x00000001 0x0000
OBS: 58247.041810 r 10494.83785 148.26360 17.44756 0.01534 0 0x00000001 0x0000
OBS: 58248.984250 B 6450.44733 123.50519 17.97603 0.02079 0 0x00000001 0x0000
OBS: 58248.986300 V 10985.27260 165.36196 17.39797 0.01635 0 0x00000001 0x0000
OBS: 58248.995960 g 9115.35166 117.45592 17.60057 0.01399 0 0x00000001 0x0000
OBS: 58248.997560 i 6877.06330 184.38598 17.90649 0.02912 0 0x00000001 0x0000
OBS: 58249.000000 r 9775.07530 167.95117 17.52470 0.01866 0 0x00000001 0x0000
OBS: 58250.963730 r 8538.28435 125.55860 17.67157 0.01597 0 0x00000001 0x0000
OBS: 58250.966110 i 6207.05381 152.09491 18.01779 0.02661 0 0x00000001 0x0000
OBS: 58250.968290 g 8327.03279 102.60383 17.69877 0.01338 0 0x00000001 0x0000
OBS: 58250.979630 V 9590.01420 152.92249 17.54545 0.01732 0 0x00000001 0x0000
OBS: 58250.981590 B 5617.20294 100.21052 18.12620 0.01937 0 0x00000001 0x0000
OBS: 58255.019690 g 8156.09934 84.19825 17.72129 0.01121 0 0x00000001 0x0000
OBS: 58255.030210 r 8172.33007 93.10697 17.71914 0.01237 0 0x00000001 0x0000
OBS: 58255.032360 i 5365.55524 108.05177 18.17596 0.02187 0 0x00000001 0x0000
OBS: 58255.035020 V 9226.43805 135.26407 17.58741 0.01592 0 0x00000001 0x0000
OBS: 58255.037270 B 5697.98679 83.49821 18.11070 0.01591 0 0x00000001 0x0000
OBS: 58257.977780 V 5535.71243 323.27694 18.14207 0.06342 1 0x00000003 0x0000
OBS: 58257.982090 B 5266.46412 88.92041 18.19620 0.01834 0 0x00000001 0x0000
OBS: 58257.988080 g 7397.99258 94.69674 17.82722 0.01390 0 0x00000001 0x0000
OBS: 58257.999980 r 3847.69805 395.56251 18.53700 0.11165 1 0x00000003 0x0000
OBS: 58260.956350 V 2666.16957 434.77886 18.93528 0.17710 1 0x00000003 0x0000
OBS: 58260.960810 B 4972.10725 79.13600 18.25865 0.01728 0 0x00000001 0x0000
OBS: 58260.974760 g 2414.59632 418.17654 19.04289 0.18808 1 0x00000003 0x0000
OBS: 58260.978220 r 6848.56076 81.83466 17.91100 0.01298 0 0x00000001 0x0000
OBS: 58260.981640 i 4678.46401 80.69338 18.32474 0.01873 0 0x00000001 0x0000
OBS: 58262.985910 r 6535.31286 76.04679 17.96183 0.01264 0 0x00000001 0x0000
OBS: 58262.990970 i 4355.40927 69.09562 18.40243 0.01723 0 0x00000001 0x0000
OBS: 58262.996010 g 6937.63354 84.03913 17.89697 0.01316 0 0x00000001 0x0000
OBS: 58272.948240 r 4975.77270 80.11464 18.25785 0.01749 0 0x00000001 0x0000
OBS: 58272.952910 i 3489.98846 94.73033 18.64294 0.02948 0 0x00000001 0x0000
OBS: 58272.956780 g 6291.35385 58.98238 18.00314 0.01018 0 0x00000001 0x0000
OBS: 58272.970280 V 6787.06771 63.93013 17.92079 0.01023 0 0x00000001 0x0000
OBS: 58272.974340 B 4417.56367 48.95208 18.38704 0.01203 0 0x00000001 0x0000
OBS: 58275.961900 V 6251.70941 88.69698 18.01000 0.01541 0 0x00000001 0x0000
OBS: 58275.964220 B 4669.29233 68.00809 18.32687 0.01582 0 0x00000001 0x0000
OBS: 58276.956940 r 4646.80886 53.93491 18.33211 0.01261 0 0x00000001 0x0000
OBS: 58276.960970 i 3336.97456 76.71037 18.69162 0.02496 0 0x00000001 0x0000
OBS: 58276.964750 g 6187.48309 57.91099 18.02121 0.01016 0 0x00000001 0x0000
