Name,RA,Dec,l,b,Peak mag,Peak time,Disc date,Type,PS prob,Redshift,MW E(B-V)
2020aqc,135.764329166667,53.3302166666667,164.47244175309268,40.88000022085845,19.875999999999998,2020-01-23 05:24:25,2020-01-23 05:24:25,None,,,0.0134
2020bhp,137.204054166667,34.1834944444444,190.12405546591395,42.187074012466915,20.3116302490234,2020-01-16 04:51:31,2020-01-16 04:51:31,None,,,0.0212
2020amw,136.0503375,36.820161111111105,186.4633674391302,41.55141582113514,19.3865928649902,2020-01-23 05:12:54.003000,2020-01-23 07:17:04,None,0.013999999999999999,,0.0211
2020apz,135.907791666667,40.835083333333294,181.09309543257166,41.71109489941249,20.0577831268311,2020-01-23 06:25:17,2020-01-23 06:25:17,None,0.0,,0.0142
2020bgt,131.8174375,54.4871083333333,163.3798730227473,38.42354529277962,20.1822681427002,2020-01-16 05:42:40.997000,2020-01-26 11:12:28,None,0.0,,0.0253
2020bhh,145.252479166667,34.1287055555556,191.10558707862967,48.81025779543834,19.831,2020-01-23 07:16:26,2020-01-23 07:25:58,None,,,0.011000000000000001
2020bhg,145.515316666667,33.8062083333333,191.61648356490178,49.007149701130864,19.930999999999997,2020-01-23 07:25:58,2020-01-23 07:25:58,None,,,0.0125
2020aym,137.237011082553,28.632852191488105,197.46122513812173,41.267577650890736,20.1181755065918,2020-01-19 10:35:02,2020-01-26 00:00:00,None,,,0.022000000000000002
2020awz,152.604654166667,33.6848055555555,192.15156333220483,54.89292885619505,20.3134727478027,2020-01-23 07:33:57,2020-01-23 07:33:57,None,,,0.0181
2020aoy,155.067120833333,50.3388694444444,163.6043507020095,53.12153657020414,19.981153488159197,2020-01-19 08:46:58,2020-01-19 08:46:58,None,0.006,,0.0083
2020ahe,162.012833333333,40.771230555555604,176.68206940918404,61.21597456936009,20.0154132843018,2019-11-07 12:50:20,2020-01-16 07:43:58,None,,,0.0122
2020bgn,151.123733333333,18.3624833333333,216.78655971452199,50.71095310090231,20.368,2020-01-23 09:35:43,2020-01-23 09:35:43,None,0.0,,0.0289
2020aoz,197.6031,66.9095083333333,120.03301995417556,50.11180807328263,19.844312667846697,2020-01-18 13:21:32,2020-01-18 13:21:32,None,,,0.0151
2020aex,170.198816666667,48.3000666666667,156.61233661914258,62.473513841162955,19.9429397583008,2020-01-18 08:45:22,2020-01-18 08:45:22,None,0.002,,0.0095
2020asn,216.329391666667,86.0098,121.08345193161223,30.77616606005496,16.2792568206787,2019-08-01 07:18:09.999000,2020-01-23 09:51:31,None,0.693,,0.1447
10AYSEald,173.115503310929,10.354531346615198,251.20804287450298,64.95600626343945,19.8322,2020-01-23 13:23:27.659000,2020-01-23 00:00:00,None,,,0.027999999999999997
10AYSEalv,172.613723239887,13.894352147113302,243.8989142017858,66.93578501284428,19.3742,2020-01-23 13:24:06.420000,2020-01-23 00:00:00,None,,,0.03
10AYSEalj,178.639952767386,20.203216941508302,237.92462522106973,75.26548517049144,20.7651,2020-01-23 13:28:52.798000,2020-01-23 00:00:00,None,,,0.031
10AYSEalg,182.399930226897,20.8199903483092,244.1391877202937,78.55688270847087,19.2574,2020-01-23 13:30:14.993000,2020-01-23 00:00:00,None,,,0.021
10AYSEalt,184.38868899329898,19.595350367026697,255.26234416281824,79.1804430407733,19.936,2020-01-23 13:31:36.840000,2020-01-23 00:00:00,None,,,0.018000000000000002
10AYSEaln,185.295563578641,20.2410639489224,256.18487892791126,80.23723633628565,20.2272,2020-01-23 13:31:36.840000,2020-01-23 00:00:00,None,,,0.022000000000000002
10AYSEalr,185.31969642107398,20.2838821196484,256.1065601050775,80.28382390530157,20.1552,2020-01-23 13:31:36.840000,2020-01-23 00:00:00,None,,,0.023
10AYSEaec,181.197648970549,17.8057767115057,251.42203146778596,75.76629028939897,19.7528,2018-11-08 12:35:00.997000,2020-01-18 00:00:00,None,,,0.021
10AYSEalp,186.42665880933998,7.67533173113425,284.3453043674868,69.61319060570753,20.6076,2020-01-23 13:37:42.289000,2020-01-23 00:00:00,None,,,0.022000000000000002
10AYSEalf,186.856410821651,7.57680410357551,285.59926457651335,69.63645034404246,20.2807,2020-01-23 13:37:42.289000,2020-01-23 00:00:00,None,,,0.019
10AYSEalu,158.1284306814,-4.15027578149127,250.56830325307868,44.147263102431886,20.299,2020-01-23 13:43:19.082000,2020-01-23 00:00:00,None,,,0.032
10AYSEalx,161.302374083927,-4.23956706712495,253.906192803875,46.26882246533436,20.3649,2020-01-23 13:44:34.252000,2020-01-23 00:00:00,None,,,0.037000000000000005
10AYSEalk,161.293493036495,-4.264142927314871,253.9206737136565,46.244694429383195,20.4365,2020-01-23 13:44:34.252000,2020-01-23 00:00:00,None,,,0.037000000000000005
